"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605031";"21";"2";"Predio comercial";"#NULO#";"200000,00";"25/08/2018";"13:38:49"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605031";"19";"13";"Terreno";"#NULO#";"60000,00";"25/08/2018";"13:38:49"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000604726";"2";"15";"Sala ou conjunto";"#NULO#";"150000,00";"28/08/2018";"18:54:57"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605081";"3";"32";"Quotas ou quinhoes de capital";"EMPRESA DANNIEL LOPES DE SOUSA";"150000,00";"26/08/2018";"14:01:33"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605033";"2";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"25000,00";"30/08/2018";"13:31:01"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605081";"1";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"M. BENS C200 2015/2016  - PLACA PMG 1911";"200000,00";"26/08/2018";"14:01:33"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605031";"22";"61";"Deposito bancario em conta corrente no Pais";"#NULO#";"59418,82";"25/08/2018";"13:38:49"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605081";"9";"72";"Fundo de Longo Prazo e Fundo de Investimentos em Direitos Creditorios (FIDC)";"PERSONNALITE RF REFERENCIADO DI MAXIME FI";"86332,18";"26/08/2018";"14:01:33"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605034";"1";"13";"Terreno";"#NULO#";"71600,00";"25/08/2018";"13:35:24"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000604726";"3";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"70000,00";"28/08/2018";"18:54:57"
